Reported,Fiscal_Year,Borough,Award,Council_District,Sponsor,Title,Description,ID,Budget_Line
2019,FY19,X,250000,16,Gibson,VOLUNTEERS OF AMERICA,CLARKE PLACE SENIOR RESIDENCE PROJECT,AG CN002,HD D024
2019,FY19,K,3640000,37,"Speaker, Espinal",CYPRESS HILLS CHILD CARE CENTER,CONSTRUCTION OF A CHILD CARE CENTER,CS NC001,CS DN956
2019,FY19,M,425000,5,Kallos,[SCA] [02M077/02M198] LOWER LAB/ISADOR E. IDA STRAUS,HVAC SYSTEM FOR CAFETERIA,E  CN001,E  D001
2019,FY19,M,100000,5,Kallos,[SCA] [02M077/02M198] LOWER LAB/ISADOR E. IDA STRAUS,PLAYGROUND RENOVATION,E  CN002,E  D001
2019,FY19,M,35000,5,Kallos,[SCA] [02M114] EAST SIDE MIDDLE SCHOOL,TECHNOLOGY UPGRADES,E  CN003,E  D001
2019,FY19,M,35000,5,Kallos,[SCA] [02M151] YORKVILLE COMMUNITY SCHOOL,TECHNOLOGY UPGRADES,E  CN004,E  D001
2019,FY19,M,461000,5,Kallos,[SCA] [02M151] YORKVILLE COMMUNITY SCHOOL,PLAYSPACE PROJECT,E  CN005,E  D001
2019,FY19,M,210000,5,Kallos,[SCA] [02M158/02M177] BAYARD TAYLOR/YORKVILLE EAST MIDDLE SCHOOL,SECURITY CAMERAS,E  CN006,E  D001
2019,FY19,M,600000,5,Kallos,[SCA] [02M183] ROBERT L. STEVENSON SCHOOL,HVAC SYSTEM FOR CAFETERIA,E  CN007,E  D001
2019,FY19,M,35000,5,Kallos,[SCA] [02M217] ROOSEVELT ISLAND SCHOOL,TECHNOLOGY UPGRADES,E  CN008,E  D001
2019,FY19,M,35000,5,Kallos,[SCA] [02M225] ELLA BAKER SCHOOL,TECHNOLOGY UPGRADES,E  CN009,E  D001
2019,FY19,M,200000,5,Kallos,[SCA] [02M290] MANHATTAN NEW SCHOOL,RESTROOM RENOVATION,E  CN010,E  D001
2019,FY19,M,212000,5,Kallos,[SCA] [02M416] ELEANOR ROOSEVELT HIGH SCHOOL,LIBRARY RENOVATION,E  CN011,E  D001
2019,FY19,M,35000,5,Kallos,[SCA] [02M449] VANGUARD HIGH SCHOOL,TECHNOLOGY UPGRADES,E  CN012,E  D001
2019,FY19,M,35000,5,Kallos,[SCA] [02M459] MANHATTAN INTERNATIONAL HIGH SCHOOL,TECHNOLOGY UPGRADES,E  CN013,E  D001
2019,FY19,M,35000,5,Kallos,[SCA] [02M519] TALENT UNLIMITED HIGH SCHOOL,TECHNOLOGY UPGRADES,E  CN014,E  D001
2019,FY19,M,50000,5,Kallos,[SCA] [02M527] EAST SIDE SCHOOL FOR SOCIAL ACTION,TECHNOLOGY UPGRADES,E  CN015,E  D001
2019,FY19,M,35000,5,Kallos,[SCA] [02M565] URBAN ACADEMY LABORATORY HIGH,TECHNOLOGY UPGRADES,E  CN016,E  D001
2019,FY19,M,35000,5,Kallos,[SCA] [02M655] LIFE SCIENCES SECONDARY SCHOOL,TECHNOLOGY UPGRADES,E  CN017,E  D001
2019,FY19,M,35000,5,Kallos,[SCA] [10X445] BRONX HIGH SCHOOL OF SCIENCE,TECHNOLOGY UPGRADES,E  CN018,E  D001
2019,FY19,X,350000,12,King,11X287/11X370,MUSIC ROOM UPGRADE,E  CN019,E  D001
2019,FY19,K,418000,40,Eugene,17K543 STAR EARLY COLLEGE SCHOOL AT ERASMUS HALL PROMETHAN PROJECT UPGR,"TO PURCHASE 32 PROMETHEAN BOARDS, PROJECTOR INSTALLATION, AND 32 COMPUTERS.",E  CN020,E  D001
2019,FY19,Q,150000,28,Adams,28Q332 TECHNOLOGY,TECHNOLOGY,E  CN021,E  D001
2019,FY19,K,125000,48,Deutsch,370K,TECHNOLOGY UPGRADES,E  CN022,E  D001
2019,FY19,M,50000,2,Rivera,47 ASL AND ENGLISH SECONDARY SCHOOL (02M047) - TECHNOLOGY,TECHNOLOGY,E  CN023,E  D001
2019,FY19,K,150000,48,Deutsch,771K,TECHNOLOGY UPGRADES,E  CN024,E  D001
