Fiscal_Year,Borough,Award,Title,Description,Budget_Line,Council_District_num
FY19,X,250000,VOLUNTEERS OF AMERICA,CLARKE PLACE SENIOR RESIDENCE PROJECT,HD D024,16
FY19,K,3640000,CYPRESS HILLS CHILD CARE CENTER,CONSTRUCTION OF A CHILD CARE CENTER,CS DN956,37
FY19,M,425000,[SCA] [02M077/02M198] LOWER LAB/ISADOR E. IDA STRAUS,HVAC SYSTEM FOR CAFETERIA,E  D001,5
FY19,M,100000,[SCA] [02M077/02M198] LOWER LAB/ISADOR E. IDA STRAUS,PLAYGROUND RENOVATION,E  D001,5
FY19,M,35000,[SCA] [02M114] EAST SIDE MIDDLE SCHOOL,TECHNOLOGY UPGRADES,E  D001,5
FY19,M,35000,[SCA] [02M151] YORKVILLE COMMUNITY SCHOOL,TECHNOLOGY UPGRADES,E  D001,5
FY19,M,461000,[SCA] [02M151] YORKVILLE COMMUNITY SCHOOL,PLAYSPACE PROJECT,E  D001,5
FY19,M,210000,[SCA] [02M158/02M177] BAYARD TAYLOR/YORKVILLE EAST MIDDLE SCHOOL,SECURITY CAMERAS,E  D001,5
FY19,M,600000,[SCA] [02M183] ROBERT L. STEVENSON SCHOOL,HVAC SYSTEM FOR CAFETERIA,E  D001,5
FY19,M,35000,[SCA] [02M217] ROOSEVELT ISLAND SCHOOL,TECHNOLOGY UPGRADES,E  D001,5
FY19,M,35000,[SCA] [02M225] ELLA BAKER SCHOOL,TECHNOLOGY UPGRADES,E  D001,5
FY19,M,200000,[SCA] [02M290] MANHATTAN NEW SCHOOL,RESTROOM RENOVATION,E  D001,5
FY19,M,212000,[SCA] [02M416] ELEANOR ROOSEVELT HIGH SCHOOL,LIBRARY RENOVATION,E  D001,5
FY19,M,35000,[SCA] [02M449] VANGUARD HIGH SCHOOL,TECHNOLOGY UPGRADES,E  D001,5
FY19,M,35000,[SCA] [02M459] MANHATTAN INTERNATIONAL HIGH SCHOOL,TECHNOLOGY UPGRADES,E  D001,5
FY19,M,35000,[SCA] [02M519] TALENT UNLIMITED HIGH SCHOOL,TECHNOLOGY UPGRADES,E  D001,5
FY19,M,50000,[SCA] [02M527] EAST SIDE SCHOOL FOR SOCIAL ACTION,TECHNOLOGY UPGRADES,E  D001,5
FY19,M,35000,[SCA] [02M565] URBAN ACADEMY LABORATORY HIGH,TECHNOLOGY UPGRADES,E  D001,5
FY19,M,35000,[SCA] [02M655] LIFE SCIENCES SECONDARY SCHOOL,TECHNOLOGY UPGRADES,E  D001,5
FY19,M,35000,[SCA] [10X445] BRONX HIGH SCHOOL OF SCIENCE,TECHNOLOGY UPGRADES,E  D001,5
FY19,X,350000,11X287/11X370,MUSIC ROOM UPGRADE,E  D001,12
FY19,K,418000,17K543 STAR EARLY COLLEGE SCHOOL AT ERASMUS HALL PROMETHAN PROJECT UPGR,"TO PURCHASE 32 PROMETHEAN BOARDS, PROJECTOR INSTALLATION, AND 32 COMPUTERS.",E  D001,40
FY19,Q,150000,28Q332 TECHNOLOGY,TECHNOLOGY,E  D001,28
FY19,K,125000,370K,TECHNOLOGY UPGRADES,E  D001,48
FY19,M,50000,47 ASL AND ENGLISH SECONDARY SCHOOL (02M047) - TECHNOLOGY,TECHNOLOGY,E  D001,2
FY19,K,150000,771K,TECHNOLOGY UPGRADES,E  D001,48
FY19,K,150000,811K,CULINARY ARTS JOB TRAINING CENTER,E  D001,48
