Fiscal_Year,Borough,Award,Council_District_num,Sector,Category,transformed_Awards
2019,X,250000,16.0,Housing & Dev,Community/Housing,3.4293771862236113
2019,K,3640000,37.0,Health & Human Svcs,"Education, Infrastructure/Renovation",3.4851420995962124
2019,M,425000,5.0,Education,"Education, Infrastructure/Renovation",3.444009455685779
2019,M,100000,5.0,Education,"Education, Infrastructure/Renovation, Parks & Recreation",3.3983129922185995
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",3.35126739654689
2019,M,35000,5.0,Education,"Community/Housing, Education, Infrastructure/Renovation, Technology",3.35126739654689
2019,M,461000,5.0,Education,"Community/Housing, Education",3.4460637565079524
2019,M,210000,5.0,Education,"Education, Safety/Security",3.4240695453856613
2019,M,600000,5.0,Education,"Education, Infrastructure/Renovation",3.452406294430098
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",3.35126739654689
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",3.35126739654689
2019,M,200000,5.0,Education,"Education, Infrastructure/Renovation",3.42253679082587
2019,M,212000,5.0,Education,"Education, Infrastructure/Renovation",3.4243648755515226
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",3.35126739654689
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",3.35126739654689
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",3.35126739654689
2019,M,50000,5.0,Education,"Education, Infrastructure/Renovation, Technology",3.3688406112283955
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",3.35126739654689
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",3.35126739654689
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",3.35126739654689
2019,X,350000,12.0,Education,"Arts & Culture, Infrastructure/Renovation",3.4389085611414054
2019,K,418000,40.0,Education,"Education, Technology",3.4435840108192517
2019,Q,150000,28.0,Education,Technology,3.4130560517438253
2019,K,125000,48.0,Education,"Infrastructure/Renovation, Technology",3.4066354994584565
2019,M,50000,2.0,Education,"Education, Technology",3.3688406112283955
2019,K,150000,48.0,Education,"Infrastructure/Renovation, Technology",3.4130560517438253
2019,K,150000,48.0,Education,Arts & Culture,3.4130560517438253
2019,K,100000,47.0,Education,"Education, Infrastructure/Renovation, Technology",3.3983129922185995
2019,Q,35000,26.0,Education,"Education, Infrastructure/Renovation, Technology",3.35126739654689
2019,K,125000,37.0,Education,"Education, Infrastructure/Renovation, Technology",3.4066354994584565
2019,X,200000,12.0,Education,"Education, Technology",3.42253679082587
2019,X,400000,18.0,Education,"Arts & Culture, Infrastructure/Renovation",3.442446699671059
2019,X,100000,13.0,Education,"Education, Infrastructure/Renovation, Technology",3.3983129922185995
2019,Q,150000,27.0,Education,Infrastructure/Renovation,3.4130560517438253
2019,Q,200000,27.0,Education,"Arts & Culture, Infrastructure/Renovation",3.42253679082587
2019,Q,125000,27.0,Education,Infrastructure/Renovation,3.4066354994584565
2019,Q,125000,27.0,Education,Infrastructure/Renovation,3.4066354994584565
2019,Q,125000,27.0,Education,Infrastructure/Renovation,3.4066354994584565
2019,Q,35000,26.0,Education,"Education, Infrastructure/Renovation, Technology",3.35126739654689
2019,Q,35000,26.0,Education,"Education, Infrastructure/Renovation, Technology",3.35126739654689
2019,M,100000,2.0,Education,"Education, Technology",3.3983129922185995
2019,K,300000,33.0,Education,"Education, Infrastructure/Renovation",3.434654335889935
2019,Q,600000,19.0,Education,"Arts & Culture, Education",3.452406294430098
2019,M,50000,3.0,Education,"Infrastructure/Renovation, Technology",3.3688406112283955
2019,Q,100000,23.0,Education,"Education, Infrastructure/Renovation, Technology",3.3983129922185995
2019,X,100000,13.0,Education,"Arts & Culture, Education, Infrastructure/Renovation, Technology",3.3983129922185995
2019,X,100000,13.0,Education,"Education, Infrastructure/Renovation, Technology",3.3983129922185995
2019,X,100000,13.0,Education,"Education, Infrastructure/Renovation, Technology",3.3983129922185995
2019,K,200000,39.0,Education,Education,3.42253679082587
2019,K,35000,39.0,Education,"Education, Technology",3.35126739654689
2019,K,86000,37.0,Education,"Education, Infrastructure/Renovation",3.3923827263617916
2019,K,35000,39.0,Education,"Education, Technology",3.35126739654689
2019,K,35000,39.0,Education,"Education, Technology",3.35126739654689
2019,K,35000,39.0,Education,Education,3.35126739654689
2019,K,100000,47.0,Education,"Education, Infrastructure/Renovation",3.3983129922185995
2019,K,35000,39.0,Education,"Education, Parks & Recreation, Technology",3.35126739654689
2019,Q,50000,23.0,Education,"Education, Infrastructure/Renovation, Technology",3.3688406112283955
2019,Q,50000,23.0,Education,"Education, Infrastructure/Renovation, Technology",3.3688406112283955
2019,X,40000,11.0,Education,"Arts & Culture, Education, Infrastructure/Renovation, Technology",3.358054951101257
2019,M,100000,8.0,Education,"Education, Infrastructure/Renovation, Parks & Recreation, Technology",3.3983129922185995
2019,M,100000,8.0,Education,"Infrastructure/Renovation, Parks & Recreation, Technology",3.3983129922185995
2019,Q,500000,31.0,Education,"Education, Infrastructure/Renovation, Technology",3.4480689247829037
2019,M,45000,3.0,Education,"Education, Infrastructure/Renovation, Technology",3.3638328026423716
2019,R,50000,50.0,Education,"Education, Technology",3.3688406112283955
2019,X,50000,13.0,Education,Safety/Security,3.3688406112283955
2019,X,50000,13.0,Education,"Infrastructure/Renovation, Technology",3.3688406112283955
2019,M,100000,7.0,Education,"Education, Infrastructure/Renovation",3.3983129922185995
2019,X,250000,8.0,Education,"Community/Housing, Education, Infrastructure/Renovation, Technology",3.4293771862236113
2019,X,75000,18.0,Education,"Education, Technology",3.3867780567270667
2019,Q,100000,27.0,Education,"Arts & Culture, Technology",3.3983129922185995
2019,Q,80000,27.0,Education,"Education, Technology",3.389448093965109
2019,Q,100000,27.0,Education,"Education, Infrastructure/Renovation",3.3983129922185995
2019,Q,120000,27.0,Education,Education,3.40515198209276
2019,Q,75000,27.0,Education,"Education, Technology",3.3867780567270667
2019,Q,70000,27.0,Education,Education,3.383869299546853
2019,Q,70000,27.0,Education,"Education, Technology",3.383869299546853
2019,Q,100000,27.0,Education,"Education, Technology",3.3983129922185995
2019,Q,150000,27.0,Education,"Education, Technology",3.4130560517438253
2019,Q,80000,27.0,Education,Other,3.389448093965109
2019,X,100000,14.0,Education,"Education, Infrastructure/Renovation, Safety/Security",3.3983129922185995
2019,Q,35000,21.0,Education,Technology,3.35126739654689
2019,K,50000,44.0,Education,"Infrastructure/Renovation, Technology",3.3688406112283955
2019,X,50000,16.0,Education,Technology,3.3688406112283955
2019,X,150000,16.0,Education,Technology,3.4130560517438253
2019,X,300000,16.0,Education,Infrastructure/Renovation,3.434654335889935
2019,X,140000,16.0,Education,Technology,3.410665299936078
2019,X,300000,16.0,Education,Infrastructure/Renovation,3.434654335889935
2019,X,500000,16.0,Education,"Education, Infrastructure/Renovation",3.4480689247829037
2019,X,75000,16.0,Education,Technology,3.3867780567270667
2019,X,50000,16.0,Education,"Education, Technology",3.3688406112283955
2019,X,150000,16.0,Education,"Education, Technology",3.4130560517438253
2019,X,125000,16.0,Education,Other,3.4066354994584565
2019,X,50000,16.0,Education,"Education, Infrastructure/Renovation",3.3688406112283955
2019,R,68000,49.0,Education,"Infrastructure/Renovation, Technology",3.382630135704395
2019,R,100000,49.0,Education,"Education, Parks & Recreation",3.3983129922185995
2019,R,68000,49.0,Education,"Infrastructure/Renovation, Technology",3.382630135704395
2019,R,68000,49.0,Education,"Education, Infrastructure/Renovation, Technology",3.382630135704395
2019,R,68000,49.0,Education,"Education, Infrastructure/Renovation, Technology",3.382630135704395
2019,R,413000,49.0,Education,Education,3.443274485207302
2019,R,68000,49.0,Education,"Education, Infrastructure/Renovation, Technology",3.382630135704395
2019,R,151000,49.0,Education,"Education, Infrastructure/Renovation",3.4132838452963576
2019,R,68000,49.0,Education,"Education, Infrastructure/Renovation, Technology",3.382630135704395
2019,R,37000,49.0,Education,Education,3.354123261953008
2019,R,68000,49.0,Education,"Community/Housing, Education, Infrastructure/Renovation, Technology",3.382630135704395
2019,Q,100000,21.0,Education,"Arts & Culture, Community/Housing, Education, Infrastructure/Renovation",3.3983129922185995
2019,M,107000,2.0,Education,"Community/Housing, Education, Technology",3.4008921656551943
2019,Q,100000,20.0,Education,"Education, Infrastructure/Renovation, Technology",3.3983129922185995
2019,M,100000,1.0,Education,Infrastructure/Renovation,3.3983129922185995
2019,Q,70000,28.0,Education,Technology,3.383869299546853
2019,M,40000,8.0,Education,"Education, Infrastructure/Renovation",3.358054951101257
2019,M,65000,1.0,Education,"Arts & Culture, Education, Technology",3.3806809843042323
2019,K,177000,37.0,Education,"Arts & Culture, Education, Technology",3.4186047483349236
2019,K,35000,47.0,Education,"Community/Housing, Education, Technology",3.35126739654689
2019,X,50000,16.0,Education,"Education, Technology",3.3688406112283955
2019,Q,100000,20.0,Education,Education,3.3983129922185995
2019,Q,100000,20.0,Education,"Education, Infrastructure/Renovation",3.3983129922185995
2019,Q,500000,27.0,Education,"Infrastructure/Renovation, Parks & Recreation",3.4480689247829037
2019,Q,100000,29.0,Education,"Education, Technology",3.3983129922185995
2019,Q,40000,29.0,Education,Other,3.358054951101257
2019,M,50000,1.0,Education,"Arts & Culture, Education, Technology",3.3688406112283955
2019,Q,250000,20.0,Education,"Education, Infrastructure/Renovation",3.4293771862236113
2019,Q,35000,26.0,Education,"Arts & Culture, Education, Infrastructure/Renovation, Technology",3.35126739654689
