Fiscal_Year,Borough,Award,Council_District_num,Sector,Category,transformed_Awards
2019,X,250000,16.0,Housing & Dev,Community/Housing,0.31992141570200033
2019,K,3640000,37.0,Health & Human Svcs,"Education, Infrastructure/Renovation",1.878586717710012
2019,M,425000,5.0,Education,"Education, Infrastructure/Renovation",0.7289042773546697
2019,M,100000,5.0,Education,"Education, Infrastructure/Renovation, Parks & Recreation",-0.5483459730529173
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",-1.8632940811534293
2019,M,35000,5.0,Education,"Community/Housing, Education, Infrastructure/Renovation, Technology",-1.8632940811534293
2019,M,461000,5.0,Education,"Community/Housing, Education",0.7863234736430789
2019,M,210000,5.0,Education,"Education, Safety/Security",0.17156881216297834
2019,M,600000,5.0,Education,"Education, Infrastructure/Renovation",0.9636018976244424
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",-1.8632940811534293
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",-1.8632940811534293
2019,M,200000,5.0,Education,"Education, Infrastructure/Renovation",0.12872715369308232
2019,M,212000,5.0,Education,"Education, Infrastructure/Renovation",0.1798235154646839
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",-1.8632940811534293
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",-1.8632940811534293
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",-1.8632940811534293
2019,M,50000,5.0,Education,"Education, Infrastructure/Renovation, Technology",-1.3721166566107714
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",-1.8632940811534293
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",-1.8632940811534293
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",-1.8632940811534293
2019,X,350000,12.0,Education,"Arts & Culture, Infrastructure/Renovation",0.5863305203911898
2019,K,418000,40.0,Education,"Education, Technology",0.7170127832665487
2019,Q,150000,28.0,Education,Technology,-0.1362666933694565
2019,K,125000,48.0,Education,"Infrastructure/Renovation, Technology",-0.31572590725635835
2019,M,50000,2.0,Education,"Education, Technology",-1.3721166566107714
2019,K,150000,48.0,Education,"Infrastructure/Renovation, Technology",-0.1362666933694565
2019,K,150000,48.0,Education,Arts & Culture,-0.1362666933694565
2019,K,100000,47.0,Education,"Education, Infrastructure/Renovation, Technology",-0.5483459730529173
2019,Q,35000,26.0,Education,"Education, Infrastructure/Renovation, Technology",-1.8632940811534293
2019,K,125000,37.0,Education,"Education, Infrastructure/Renovation, Technology",-0.31572590725635835
2019,X,200000,12.0,Education,"Education, Technology",0.12872715369308232
2019,X,400000,18.0,Education,"Arts & Culture, Infrastructure/Renovation",0.685224104868281
2019,X,100000,13.0,Education,"Education, Infrastructure/Renovation, Technology",-0.5483459730529173
2019,Q,150000,27.0,Education,Infrastructure/Renovation,-0.1362666933694565
2019,Q,200000,27.0,Education,"Arts & Culture, Infrastructure/Renovation",0.12872715369308232
2019,Q,125000,27.0,Education,Infrastructure/Renovation,-0.31572590725635835
2019,Q,125000,27.0,Education,Infrastructure/Renovation,-0.31572590725635835
2019,Q,125000,27.0,Education,Infrastructure/Renovation,-0.31572590725635835
2019,Q,35000,26.0,Education,"Education, Infrastructure/Renovation, Technology",-1.8632940811534293
2019,Q,35000,26.0,Education,"Education, Infrastructure/Renovation, Technology",-1.8632940811534293
2019,M,100000,2.0,Education,"Education, Technology",-0.5483459730529173
2019,K,300000,33.0,Education,"Education, Infrastructure/Renovation",0.46742174172280343
2019,Q,600000,19.0,Education,"Arts & Culture, Education",0.9636018976244424
2019,M,50000,3.0,Education,"Infrastructure/Renovation, Technology",-1.3721166566107714
2019,Q,100000,23.0,Education,"Education, Infrastructure/Renovation, Technology",-0.5483459730529173
2019,X,100000,13.0,Education,"Arts & Culture, Education, Infrastructure/Renovation, Technology",-0.5483459730529173
2019,X,100000,13.0,Education,"Education, Infrastructure/Renovation, Technology",-0.5483459730529173
2019,X,100000,13.0,Education,"Education, Infrastructure/Renovation, Technology",-0.5483459730529173
2019,K,200000,39.0,Education,Education,0.12872715369308232
2019,K,35000,39.0,Education,"Education, Technology",-1.8632940811534293
2019,K,86000,37.0,Education,"Education, Infrastructure/Renovation",-0.7141009717981338
2019,K,35000,39.0,Education,"Education, Technology",-1.8632940811534293
2019,K,35000,39.0,Education,"Education, Technology",-1.8632940811534293
2019,K,35000,39.0,Education,Education,-1.8632940811534293
2019,K,100000,47.0,Education,"Education, Infrastructure/Renovation",-0.5483459730529173
2019,K,35000,39.0,Education,"Education, Parks & Recreation, Technology",-1.8632940811534293
2019,Q,50000,23.0,Education,"Education, Infrastructure/Renovation, Technology",-1.3721166566107714
2019,Q,50000,23.0,Education,"Education, Infrastructure/Renovation, Technology",-1.3721166566107714
2019,X,40000,11.0,Education,"Arts & Culture, Education, Infrastructure/Renovation, Technology",-1.6735801044552436
2019,M,100000,8.0,Education,"Education, Infrastructure/Renovation, Parks & Recreation, Technology",-0.5483459730529173
2019,M,100000,8.0,Education,"Infrastructure/Renovation, Parks & Recreation, Technology",-0.5483459730529173
2019,Q,500000,31.0,Education,"Education, Infrastructure/Renovation, Technology",0.8423693644238835
2019,M,45000,3.0,Education,"Education, Infrastructure/Renovation, Technology",-1.512087067289924
2019,R,50000,50.0,Education,"Education, Technology",-1.3721166566107714
2019,X,50000,13.0,Education,Safety/Security,-1.3721166566107714
2019,X,50000,13.0,Education,"Infrastructure/Renovation, Technology",-1.3721166566107714
2019,M,100000,7.0,Education,"Education, Infrastructure/Renovation",-0.5483459730529173
2019,X,250000,8.0,Education,"Community/Housing, Education, Infrastructure/Renovation, Technology",0.31992141570200033
2019,X,75000,18.0,Education,"Education, Technology",-0.8707551356314547
2019,Q,100000,27.0,Education,"Arts & Culture, Technology",-0.5483459730529173
2019,Q,80000,27.0,Education,"Education, Technology",-0.7961258835572693
2019,Q,100000,27.0,Education,"Education, Infrastructure/Renovation",-0.5483459730529173
2019,Q,120000,27.0,Education,Education,-0.3571913046007482
2019,Q,75000,27.0,Education,"Education, Technology",-0.8707551356314547
2019,Q,70000,27.0,Education,Education,-0.9520567032958589
2019,Q,70000,27.0,Education,"Education, Technology",-0.9520567032958589
2019,Q,100000,27.0,Education,"Education, Technology",-0.5483459730529173
2019,Q,150000,27.0,Education,"Education, Technology",-0.1362666933694565
2019,Q,80000,27.0,Education,Other,-0.7961258835572693
2019,X,100000,14.0,Education,"Education, Infrastructure/Renovation, Safety/Security",-0.5483459730529173
2019,Q,35000,21.0,Education,Technology,-1.8632940811534293
2019,K,50000,44.0,Education,"Infrastructure/Renovation, Technology",-1.3721166566107714
2019,X,50000,16.0,Education,Technology,-1.3721166566107714
2019,X,150000,16.0,Education,Technology,-0.1362666933694565
2019,X,300000,16.0,Education,Infrastructure/Renovation,0.46742174172280343
2019,X,140000,16.0,Education,Technology,-0.2030899975393491
2019,X,300000,16.0,Education,Infrastructure/Renovation,0.46742174172280343
2019,X,500000,16.0,Education,"Education, Infrastructure/Renovation",0.8423693644238835
2019,X,75000,16.0,Education,Technology,-0.8707551356314547
2019,X,50000,16.0,Education,"Education, Technology",-1.3721166566107714
2019,X,150000,16.0,Education,"Education, Technology",-0.1362666933694565
2019,X,125000,16.0,Education,Other,-0.31572590725635835
2019,X,50000,16.0,Education,"Education, Infrastructure/Renovation",-1.3721166566107714
2019,R,68000,49.0,Education,"Infrastructure/Renovation, Technology",-0.9866920811594947
2019,R,100000,49.0,Education,"Education, Parks & Recreation",-0.5483459730529173
2019,R,68000,49.0,Education,"Infrastructure/Renovation, Technology",-0.9866920811594947
2019,R,68000,49.0,Education,"Education, Infrastructure/Renovation, Technology",-0.9866920811594947
2019,R,68000,49.0,Education,"Education, Infrastructure/Renovation, Technology",-0.9866920811594947
2019,R,413000,49.0,Education,Education,0.7083613164478137
2019,R,68000,49.0,Education,"Education, Infrastructure/Renovation, Technology",-0.9866920811594947
2019,R,151000,49.0,Education,"Education, Infrastructure/Renovation",-0.129899692284204
2019,R,68000,49.0,Education,"Education, Infrastructure/Renovation, Technology",-0.9866920811594947
2019,R,37000,49.0,Education,Education,-1.7834719616709016
2019,R,68000,49.0,Education,"Community/Housing, Education, Infrastructure/Renovation, Technology",-0.9866920811594947
2019,Q,100000,21.0,Education,"Arts & Culture, Community/Housing, Education, Infrastructure/Renovation",-0.5483459730529173
