Fiscal_Year,Borough,Award,Council_District_num,Sector,Category,log_Awards
2019,X,250000,16.0,Housing & Dev,Community/Housing,12.429216196844383
2019,K,3640000,37.0,Health & Human Svcs,"Education, Infrastructure/Renovation",15.107494239612924
2019,M,425000,5.0,Education,"Education, Infrastructure/Renovation",12.959844447906553
2019,M,100000,5.0,Education,"Education, Infrastructure/Renovation, Parks & Recreation",11.512925464970229
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",10.46310334047155
2019,M,35000,5.0,Education,"Community/Housing, Education, Infrastructure/Renovation, Technology",10.46310334047155
2019,M,461000,5.0,Education,"Community/Housing, Education",13.041153321978786
2019,M,210000,5.0,Education,"Education, Safety/Security",12.254862809699606
2019,M,600000,5.0,Education,"Education, Infrastructure/Renovation",13.304684934198283
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",10.46310334047155
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",10.46310334047155
2019,M,200000,5.0,Education,"Education, Infrastructure/Renovation",12.206072645530174
2019,M,212000,5.0,Education,"Education, Infrastructure/Renovation",12.26434155365415
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",10.46310334047155
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",10.46310334047155
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",10.46310334047155
2019,M,50000,5.0,Education,"Education, Infrastructure/Renovation, Technology",10.819778284410283
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",10.46310334047155
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",10.46310334047155
2019,M,35000,5.0,Education,"Education, Infrastructure/Renovation, Technology",10.46310334047155
2019,X,350000,12.0,Education,"Arts & Culture, Infrastructure/Renovation",12.765688433465597
2019,K,418000,40.0,Education,"Education, Technology",12.943236711506893
2019,Q,150000,28.0,Education,Technology,11.918390573078392
2019,K,125000,48.0,Education,"Infrastructure/Renovation, Technology",11.736069016284437
2019,M,50000,2.0,Education,"Education, Technology",10.819778284410283
2019,K,150000,48.0,Education,"Infrastructure/Renovation, Technology",11.918390573078392
2019,K,150000,48.0,Education,Arts & Culture,11.918390573078392
