Fiscal_Year,Borough,Award,Total_Projects,Total_Sectors_Participated,Total_Categories_Participated
2019,K,162808000,410,7,8
2019,M,144382000,347,7,8
2019,Q,140309000,467,7,8
2019,R,39951000,116,7,8
2019,X,98195000,272,7,8
2020,K,197294000,423,7,8
2020,M,174000000,416,7,8
2020,Q,183254000,452,8,8
2020,R,49466000,116,6,8
2020,X,102126000,256,7,8
2021,K,162954000,381,8,8
2021,M,149133000,350,8,8
2021,Q,165925000,384,7,8
2021,R,34703000,101,5,8
2021,X,99237000,256,7,8
2022,K,174286000,349,7,8
2022,M,164244000,329,7,8
2022,Q,190634000,398,8,8
2022,R,38922000,101,5,8
2022,X,122960000,264,8,8
2023,K,223274000,356,7,8
2023,M,211759000,347,7,8
2023,Q,293083000,424,8,8
2023,R,67798000,85,6,7
2023,X,162660000,208,7,8
2024,K,201635000,329,8,8
2024,M,190069000,286,8,8
2024,Q,243103000,342,7,8
2024,R,51070000,94,5,8
2024,X,184407000,204,7,8
2025,K,250088000,359,7,8
2025,M,163065000,344,8,8
2025,Q,199889000,344,8,8
2025,R,54055000,86,5,8
2025,X,124853000,197,7,8
2026,K,232526000,345,6,8
2026,M,184460000,331,7,8
2026,Q,194274000,293,8,8
2026,R,35700000,82,5,8
2026,X,130360000,196,6,8
2027,K,11000000,2,1,3
2027,M,3000000,1,1,0
2027,Q,8300000,1,1,2
2028,M,3000000,1,1,0
2029,M,3000000,1,1,0
